scriptureId,scriptureAbbr,scriptureBook
1,Comp,Composite
2,Gen,Genesis
3,Exod,Exodus
4,Lev,Leviticus
5,Num,Numbers
6,Deut,Deuteronomy
7,Josh,Joshua
8,Judg,Judges
9,Esth,Esther
10,1Kg,1 Kings [1 Samuel]
11,2Kg,2 Kings [2 Samuel]
12,3Kg,3[1] Kings
13,4Kg,4[2] Kings
14,1Chr,1 Chronicles
15,2Chr,2 Chronicles
16,Prov,Proverbs
17,Job,Job
18,Isa,Isaiah
19,Jer,Jeremiah
20,Ezek,Ezekiel
21,Dan,Daniel
22,Amos,Amos
23,Joel,Joel
24,Jonah,Jonah
25,Micah,Micah
26,Zech,Zechariah
27,Neh,Nehemiah
28,Zeph,Zephaniah
29,Wis,Wisdom of Solomon
30,Matt,Matthew
31,Mark,Mark
32,Luke,Luke
33,John,John
34,Acts,Acts
35,Rom,Romans
36,1Cor,1 Corinthians
37,2Cor,2 Corinthians
38,Gal,Galatians
39,Eph,Ephesians
40,Phil,Philippians
41,Col,Colossians
42,1Thess,1 Thessalonians
43,2Thess,2 Thessalonians
44,1Tim,1 Timothy
45,2Tim,2 Timothy
46,Jude,Jude
47,Philemon,Philemon
48,Titus,Titus
49,Heb,Hebrews
50,James,James
51,1Peter,1 Peter
52,2Peter,2 Peter
53,1John,1 John
54,2John,2 John
55,3John,3 John
